2016-10-11 	 19:17	0	23.52	53
2016-10-11 	 21:12	1	23.06	57
2016-10-13 	 09:43	1	23.12	57
2016-10-13 	 11:19	1	21.98	61
2016-10-13 	 14:54	2	20.72	65
2016-10-13 	 17:38	0	23.5	66
2016-10-13 	 19:10	0	24.05	64
2016-10-14 	 09:14	2	20.69	53
2016-10-14 	 11:43	1	21.39	60
2016-10-14 	 14:51	1	22.09	64
2016-10-14 	 16:58	0	23.91	68
2016-10-14 	 19:32	0	24.16	71
2016-10-15 	 09:26	0	24.15	62
2016-10-15 	 11:39	0	24.06	67
2016-10-15 	 15:06	1	23.19	71
2016-10-15 	 17:46	1	22.75	74
2016-10-15 	 20:06	1	22.27	79
2016-10-18 	 09:28	0	25.38	60
2016-10-18 	 11:42	0	24.12	63
2016-10-18 	 15:02	0	24.08	68
2016-10-18 	 17:37	1	22.61	73
2016-10-18 	 19:08	0	23.96	75
2016-10-18 	 21:11	0	23.73	78
2016-10-19 	 09:53	1	21.29	71
2016-10-19 	 12:01	1	22.36	75
2016-10-19 	 15:46	0	23.75	79
2016-10-19 	 17:13	1	21.78	81
2016-10-19 	 19:47	0	22.88	83
2016-10-20 	 09:14	1	21.24	85
2016-10-20 	 12:00	0	24.48	78
2016-10-20 	 14:54	0	25.03	77
2016-10-20 	 17:20	0	24.4	85
2016-10-20 	 20:44	0	23.87	78
2016-10-21 	 09:14	0	25.24	76
2016-10-21 	 12:00	0	23.98	77
2016-10-21 	 14:54	0	23.73	79
2016-10-21 	 17:20	0	24	80
2016-10-21 	 20:44	0	23.87	79
2016-10-21 	 21:31	0	24.04	82
2016-10-24 	 08:54	0	24.95	59
2016-10-24 	 10:41	1	23.5	56
2016-10-24 	 14:12	1	23.27	60
2016-10-24 	 16:48	0	24.18	67
2016-10-24 	 19:25	0	24.46	61
2016-10-24 	 21:46	0	25.73	69
2016-10-25 	 08:39	-1	26.42	76
2016-10-25 	 10:59	0	25.38	78
2016-10-25 	 13:41	1	22.73	79
2016-10-25 	 17:05	0	23.82	82
2016-10-25 	 19:37	0	23.97	85
2016-10-25 	 22:09	0	24.21	89
2016-10-26 	 09:02	0	23.49	84
2016-10-26 	 11:21	0	24.63	74
2016-10-26 	 14:28	0	25.26	75
2016-10-26 	 16:58	0	25.69	79
2016-10-26 	 20:07	-1	26.31	81
2016-10-26 	 21:57	0	24.42	85
2016-10-27 	 08:46	-1	26.39	81
2016-10-27 	 10:26	0	25.67	83
2016-10-27 	 13:43	0	25.32	84
2016-10-27 	 16:17	0	23.75	87
2016-10-27 	 20:44	1	23.21	89
2016-10-27 	 21:31	1	23.14	90
2016-10-28 	 09:43	0	24.19	76
2016-10-28 	 12:25	1	22.76	79
2016-10-28 	 15:18	1	22.43	81
2016-10-28 	 18:46	1	21.29	86
2016-10-28 	 21:37	0	23.92	89
2016-10-31 	 10:05	0	24.36	65
2016-10-31 	 13:10	1	22.18	67
2016-10-31 	 16:43	0	23.84	71
2016-10-31 	 20:54	0	23.39	73
2016-11-01 	 08:41	0	24.21	45
2016-11-01 	 11:48	1	23.77	51
2016-11-01 	 16:11	1	23.04	75
2016-11-01 	 19:24	1	22.34	79
2016-11-01 	 21:42	0	23.95	84
2016-11-02 	 08:50	0	25.27	45
2016-11-02 	 10:44	0	25.38	54
2016-11-02 	 14:11	0	24.21	67
2016-11-02 	 16:40	0	24.59	78
2016-11-02 	 19:52	0	23.7	84
2016-11-03 	 09:13	0	23.65	41
2016-11-03 	 20:44	2	21.07	45
2016-11-13	 17:33	2	24.09	71
2016-11-03 	 09:14	1	23.49	51
2016-11-04 	 08:29	-1	26.92	43
2016-11-04 	 10:42	-1	27.36	47
2016-11-04 	 13:31	0	25.24	61
2016-11-04 	 17:05	0	24.02	65
2016-11-04 	 20:27	0	24.87	72
2016-11-05 	 08:21	0	25.98	51
2016-11-05 	 11:08	0	24.3	54
2016-11-07 	 09:21	0	23.34	65
2016-11-07 	 11:32	0	24.44	67
2016-11-07 	 14:01	1	22.05	69
2016-11-07 	 16:21	1	22.43	72
2016-11-07 	 18:53	0	24.13	77
2016-11-07 	 21:36	0	24.01	81
2016-11-08 	 09:14	0	25.96	61
2016-11-08 	 11:31	-1	26.65	63
2016-11-08 	 13:56	-1	27.41	68
2016-11-08 	 16:20	0	26.19	73
2016-11-08 	 17:46	0	23.57	78
2016-11-08 	 20:27	0	24.5	81
2016-11-09 	 08:48	0	24.63	53
2016-11-09 	 10:31	0	24.44	59
2016-11-09 	 14:05	1	23.54	66
2016-11-09 	 16:47	1	22.76	68
2016-11-09 	 18:28	1	21.52	71
2016-11-09 	 20:51	1	22.37	73
2016-11-09 	 22:05	0	23.86	75
2016-11-10 	 08:56	0	24.34	64
2016-11-10 	 10:39	1	23.59	67
2016-11-10 	 13:10	1	22.87	70
2016-11-10 	 16:24	0	24.53	72
2016-11-10 	 19:04	0	25.56	75
2016-11-10 	 21:52	0	25.95	78
2016-11-11 	 09:15	3	15.87	47
2016-11-11 	 11:32	3	16.01	51
2016-11-11 	 14:20	2	18.58	53
2016-11-13	 17:33	2	24.09	71
2016-11-11 	 19:35	3	17.01	67
2016-11-11 	 21:49	3	16.58	73
2016-11-13 	 08:36	0	25.73	65
